showName,className,fenceHeight,entryFee,prizeMoney,1st,2nd,3rd,4th,5th,6th,7th,8th,
Old Salem,Marshall & Sterling Adult Amateur Jumper Classic ,1.15, $125 , $3,000 , $750 , $500 , $350 , $250 , $200 , $175 , $150 , $125 ,
,,,,,,,,,,,,,
Cape Cod Hunter,Schooling Jumper,0.90, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Cape Cod Hunter,Schooling Jumper,0.95, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Cape Cod Hunter,Children's/Adult Jumper,1.00, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Cape Cod Hunter,Schooling Jumper,1.00, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Cape Cod Hunter,Mini Prix,1.05, $60 , $500 , $150 , $95 , $75 , $60 , $60 , $60 , $-   , $-   ,
Cape Cod Hunter,M&S Child/Adult,1.05, $60 , $500 , $150 , $95 , $75 , $60 , $60 , $60 , $-   , $-   ,
Cape Cod Hunter,Schooling Jumper,1.05, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Cape Cod Hunter,Schooling Jumper,1.10, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
,,,,,,,,,,,,,
HITS Ocala,Schooling Jumper,0.90, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Ocala,Modified Child/Adult Jumper,0.90, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Ocala,M&S Modified Child/Adult Jumper Classic,0.90, $50 , $250 , $75 , $55 , $45 , $30 , $25 , $20 , $-   , $-   ,
HITS Ocala,Schooling Jumper,1.00, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Ocala,Adult Jumper Low 18-45,1.00, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Ocala,M&S Harcour Child/Adult Jumper Low Classic,1.00, $50 , $500 , $150 , $110 , $75 , $60 , $55 , $50 , $-   , $-   ,
HITS Ocala,Schooling Jumper,1.10, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Ocala,Adult Jumper High 18-45,1.10, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Ocala,M&S Adult Jumper Classic,1.10, $150 , $2,500 , $750 , $450 , $300 , $250 , $225 , $200 , $175 , $150 ,
HITS Ocala,Schooling Jumper,1.15, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Ocala,Farm Vet Jumper Classic,1.20, $75 , $1,000 , $300 , $200 , $160 , $130 , $110 , $100 , $-   , $-   ,
,,,,,,,,,,,,,
HITS Saugerties,Schooling Jumper,0.90, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Saugerties,Modified Child/Adult Jumper,0.90, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Saugerties,M&S Modified Child/Adult Jumper Classic,0.90, $50 , $250 , $75 , $55 , $45 , $30 , $25 , $20 , $-   , $-   ,
HITS Saugerties,Schooling Jumper,1.00, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Saugerties,Adult Jumper Low 18-45,1.00, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Saugerties,M&S Harcour Child/Adult Jumper Low Classic,1.00, $50 , $500 , $150 , $110 , $75 , $60 , $55 , $50 , $-   , $-   ,
HITS Saugerties,Schooling Jumper,1.10, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Saugerties,Adult Jumper High 18-45,1.10, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Saugerties,M&S Adult Jumper Classic,1.10, $150 , $2,500 , $750 , $450 , $300 , $250 , $225 , $200 , $175 , $150 ,
HITS Saugerties,Schooling Jumper,1.15, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
HITS Saugerties,Farm Vet Jumper Classic,1.20, $75 , $1,000 , $300 , $200 , $160 , $130 , $110 , $100 , $-   , $-   ,
,,,,,,,,,,,,,
Tryon,Schooling Jumper,0.90, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Tryon,Schooling Jumper Non Pro,0.90, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Tryon,Schooling Jumper,1.00, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Tryon,Low Adult-Amateur Jumper,1.00, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Tryon,Low Adult-Amateur Jumper Stakes,1.00, $50 , $300 , $90 , $60 , $45 , $40 , $35 , $30 , $-   , $-   ,
Tryon,Tenda Jumper,1.10, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Tryon,Adult Amateur Jumper,1.10, $50 , $80 , $35 , $20 , $15 , $10 , $-   , $-   , $-   , $-   ,
Tryon,NAL/WIHS Adult Jumper Classic,1.10, $150 , $2,000 , $550 , $320 , $240 , $210 , $190 , $170 , $160 , $160 ,
Tryon,Farmpaint Jumper,1.15, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Tryon,Farmpaint Jumper Non Pro,1.15, $50 , $80 , $35 , $20 , $15 , $10 , $-   , $-   , $-   , $-   ,
Tryon,Low Junior/Amateur Jumper,1.20, $50 , $400 , $105 , $80 , $70 , $50 , $50 , $45 , $-   , $-   ,
Tryon,NAL Low Junior/Amateur Jumper,1.20, $135 , $2,000 , $550 , $320 , $240 , $210 , $190 , $170 , $160 , $160 ,
Tryon,Open Jumper,1.20, $50 , $400 , $105 , $80 , $70 , $50 , $50 , $45 , $-   , $-   ,
Tryon,Open Jumper Stakes,1.20, $135 , $2,000 , $550 , $320 , $240 , $210 , $190 , $170 , $160 , $160 ,
,,,,,,,,,,,,,
Saratoga,Training Jumper,0.90, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Saratoga,Modified Children's Adult Jumper,0.90, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Saratoga,Low Adult Jumper,0.95, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Saratoga,Low Adult Jumper Classic,0.95, $100 , $1,000 , $220 , $140 , $120 , $110 , $105 , $105 , $100 , $100 ,
Saratoga,Training Jumper,1.00, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Saratoga,Schooling Jumper,1.10, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Saratoga,High Adult Jumper,1.10, $60 , $500 , $130 , $110 , $80 , $70 , $60 , $50 , $-   , $-   ,
Saratoga,High Adult Jumper Classic,1.10, $120 , $1,500 , $375 , $225 , $195 , $180 , $150 , $135 , $120 , $120 ,
Saratoga,Modified Junior/Amateur/Amateur Owner Jumper,1.15, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Saratoga,Open Jumper,1.15, $60 , $500 , $130 , $110 , $80 , $70 , $60 , $50 , $-   , $-   ,
Saratoga,Open Jumper,1.20, $60 , $500 , $130 , $110 , $80 , $70 , $60 , $50 , $-   , $-   ,
Saratoga,Open Jumper Stake,1.20, $100 , $1,000 , $220 , $140 , $120 , $110 , $105 , $105 , $100 , $100 ,
Saratoga,Low Junior/Amateur/Amateur Owner Jumper,1.20, $60 , $500 , $130 , $110 , $80 , $70 , $60 , $50 , $-   , $-   ,
Saratoga,Low Junior/Amateur/Amateur Owner Jumper Stake,1.20, $100 , $1,000 , $220 , $140 , $120 , $110 , $105 , $105 , $100 , $100 ,
,,,,,,,,,,,,,
Norfolk Hunt,Low Training Jumper,0.95, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
